model,accuracy,macro_f1,precision_normal,recall_normal,precision_sensitive,recall_sensitive,n_samples
knn,0.7056,0.6879,0.736,0.5262,0.6914,0.849,1800
logistic_regression,0.9111,0.9075,0.9954,0.8037,0.864,0.997,1800
random_forest,0.7778,0.75,1.0,0.5,0.7143,1.0,1800
random_forest_constrained,0.7778,0.75,1.0,0.5,0.7143,1.0,1800
