packet_id,phase,sensitivity,threat_state,bandwidth_kbps,tier_selected,cipher_name,latency_ms,energy_uj
78,Benign,1,0,29.6,2,Tier 3 (ECDH+AES),0.1547,5.9095
79,Benign,1,0,66.6,2,Tier 3 (ECDH+AES),0.1455,5.5581
80,Benign,1,0,35.1,2,Tier 3 (ECDH+AES),0.1453,5.5505
81,Benign,1,0,132.2,2,Tier 3 (ECDH+AES),0.1451,5.5428
82,Benign,1,0,101.0,2,Tier 3 (ECDH+AES),0.1446,5.5237
83,Benign,1,0,63.0,2,Tier 3 (ECDH+AES),0.1447,5.5275
84,Benign,1,0,28.3,2,Tier 3 (ECDH+AES),0.1447,5.5275
85,Benign,1,0,60.4,2,Tier 3 (ECDH+AES),0.1451,5.5428
86,Benign,1,0,62.3,2,Tier 3 (ECDH+AES),0.1447,5.5275
87,Benign,1,0,114.8,2,Tier 3 (ECDH+AES),0.1449,5.5352
88,Benign,1,0,102.9,2,Tier 3 (ECDH+AES),0.1748,6.6774
89,Benign,1,0,135.3,2,Tier 3 (ECDH+AES),0.2046,7.8157
90,Benign,1,0,81.4,2,Tier 3 (ECDH+AES),0.1615,6.1693
91,Benign,1,0,35.5,2,Tier 3 (ECDH+AES),0.2065,7.8883
92,Benign,1,0,112.7,2,Tier 3 (ECDH+AES),0.1992,7.6094
93,Benign,1,0,118.9,2,Tier 3 (ECDH+AES),0.1455,5.5581
94,Benign,1,0,93.0,2,Tier 3 (ECDH+AES),0.1462,5.5848
95,Benign,1,0,120.2,2,Tier 3 (ECDH+AES),0.1463,5.5887
96,Benign,1,0,84.2,2,Tier 3 (ECDH+AES),0.1456,5.5619
97,Benign,1,0,88.0,2,Tier 3 (ECDH+AES),0.1451,5.5428
98,Benign,1,0,75.6,2,Tier 3 (ECDH+AES),0.1447,5.5275
99,Benign,1,0,23.3,2,Tier 3 (ECDH+AES),0.1443,5.5123
100,Benign,1,0,34.0,2,Tier 3 (ECDH+AES),0.1482,5.6612
101,DDoS Attack,1,1,783.0,2,Tier 3 (ECDH+AES),0.1453,5.5505
102,DDoS Attack,1,1,1418.2,2,Tier 3 (ECDH+AES),0.1452,5.5466
103,DDoS Attack,1,1,1080.1,2,Tier 3 (ECDH+AES),0.1447,5.5275
104,DDoS Attack,1,1,1284.0,2,Tier 3 (ECDH+AES),0.1448,5.5314
105,DDoS Attack,1,1,1702.9,2,Tier 3 (ECDH+AES),0.1449,5.5352
106,DDoS Attack,1,1,1011.8,2,Tier 3 (ECDH+AES),0.1445,5.5199
107,DDoS Attack,1,1,1180.9,2,Tier 3 (ECDH+AES),0.1447,5.5275
108,DDoS Attack,1,1,1543.3,2,Tier 3 (ECDH+AES),0.1443,5.5123
109,DDoS Attack,1,1,990.2,2,Tier 3 (ECDH+AES),0.1448,5.5314
110,DDoS Attack,1,1,830.8,2,Tier 3 (ECDH+AES),0.1441,5.5046
111,DDoS Attack,1,1,1054.2,2,Tier 3 (ECDH+AES),0.2175,8.3085
112,DDoS Attack,1,1,919.3,2,Tier 3 (ECDH+AES),0.1809,6.9104
113,DDoS Attack,1,1,1726.2,2,Tier 3 (ECDH+AES),0.2683,10.2491
114,DDoS Attack,1,1,1598.5,2,Tier 3 (ECDH+AES),0.1886,7.2045
115,DDoS Attack,1,1,1415.1,2,Tier 3 (ECDH+AES),0.1476,5.6383
116,DDoS Attack,1,1,1665.0,2,Tier 3 (ECDH+AES),0.147,5.6154
117,DDoS Attack,1,1,1593.9,2,Tier 3 (ECDH+AES),0.1462,5.5848
118,DDoS Attack,1,1,945.9,2,Tier 3 (ECDH+AES),0.1455,5.5581
119,DDoS Attack,1,1,1687.2,2,Tier 3 (ECDH+AES),0.1463,5.5887
120,DDoS Attack,1,1,1316.3,2,Tier 3 (ECDH+AES),0.1452,5.5466
121,DDoS Attack,1,1,1597.8,2,Tier 3 (ECDH+AES),0.1548,5.9134
122,DDoS Attack,1,1,1690.9,2,Tier 3 (ECDH+AES),0.1462,5.5848
123,DDoS Attack,1,1,1083.9,2,Tier 3 (ECDH+AES),0.1455,5.5581
124,DDoS Attack,1,1,865.6,2,Tier 3 (ECDH+AES),0.1452,5.5466
125,DDoS Attack,1,1,989.3,2,Tier 3 (ECDH+AES),0.1448,5.5314
126,DDoS Attack,1,1,1198.5,2,Tier 3 (ECDH+AES),0.1443,5.5123
127,DDoS Attack,1,1,1608.9,2,Tier 3 (ECDH+AES),0.1448,5.5314
128,DDoS Attack,1,1,1653.8,2,Tier 3 (ECDH+AES),0.1446,5.5237
129,DDoS Attack,1,1,757.3,2,Tier 3 (ECDH+AES),0.1447,5.5275
130,DDoS Attack,1,1,1286.3,2,Tier 3 (ECDH+AES),0.1446,5.5237
131,DDoS Attack,1,1,1188.3,2,Tier 3 (ECDH+AES),0.1446,5.5237
132,DDoS Attack,1,1,983.2,2,Tier 3 (ECDH+AES),0.1443,5.5123
133,DDoS Attack,1,1,875.9,2,Tier 3 (ECDH+AES),0.1522,5.814
134,DDoS Attack,1,1,1104.5,2,Tier 3 (ECDH+AES),0.2274,8.6867
135,DDoS Attack,1,1,1740.1,2,Tier 3 (ECDH+AES),0.1897,7.2465
136,DDoS Attack,1,1,1089.4,2,Tier 3 (ECDH+AES),0.1686,6.4405
137,DDoS Attack,1,1,1294.7,2,Tier 3 (ECDH+AES),0.2052,7.8386
138,DDoS Attack,1,1,1488.2,2,Tier 3 (ECDH+AES),0.201,7.6782
139,DDoS Attack,1,1,1131.8,2,Tier 3 (ECDH+AES),0.1469,5.6116
140,DDoS Attack,1,1,1770.4,2,Tier 3 (ECDH+AES),0.1462,5.5848
